node	expansions	synonyms	usage_notes
cs46	Genitive Absolute (Genitive > Genitive Absolute)	genitive absolute participle; absolute participial clause	type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs47	Genitive of Reference (Genitive > Genitive of Reference)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs48	Genitive of Association (Genitive > Genitive of Association)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs49	Genitive After Certain Verbs (as Direct Object) (Genitive > Genitive After Certain Verbs (as Direct Object))		type=node; parent: Genitive; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs5	Nominativus Pendens (Pendent Nominative) (Nominative > Nominativus Pendens (Pendent Nominative))		type=node; parent: Nominative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs50	Genitive After Certain Adjectives (Genitive > Genitive After Certain Adjectives)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs51	Genitive After Certain Nouns (Genitive > Genitive After Certain Nouns)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs52	Genitive After Certain Prepositions (Genitive > Genitive After Certain Prepositions)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs54	Dative Indirect Object (Dative > Dative Indirect Object)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs55	Dative of Interest (Dative > Dative of Interest)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs56	Advantage (commodi) (Dative > Dative of Interest > Advantage (commodi))		type=node; parent: Dative of Interest; source=merged; axis weights: morphology:1.00, syntax:0.80
cs57	Disadvantage (incommodi) (Dative > Dative of Interest > Disadvantage (incommodi))		type=node; parent: Dative of Interest; source=merged; axis weights: morphology:1.00, syntax:0.80
cs58	Dative of Reference/Respect (Dative > Dative of Reference/Respect)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs59	Ethical Dative (Dative > Ethical Dative)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs6	Parenthetic Nominative (Nominative > Parenthetic Nominative)		type=node; parent: Nominative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs60	Dative of Destination (Dative > Dative of Destination)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs61	Dative of Recipient (Dative > Dative of Recipient)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs62	Dative of Possession (Dative > Dative of Possession)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs63	Dative of Thing Possessed (Dative > Dative of Thing Possessed)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs64	Predicate Dative (Dative > Predicate Dative)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs65	Dative in Simple Apposition (Dative > Dative in Simple Apposition)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs66	Dative of Sphere (Dative > Dative of Sphere)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs67	Dative of Time (Dative > Dative of Time)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs68	Dative of Rule (Dative > Dative of Rule)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs69	Dative of Association/Accompaniment (Dative > Dative of Association/Accompaniment)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs7	Nominative in Proverbial Expressions (Nominative > Nominative in Proverbial Expressions)		type=node; parent: Nominative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs70	Dative of Manner (Dative > Dative of Manner)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs71	Dative of Means/Instrument (Dative > Dative of Means/Instrument)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs72	Dative of Agency (Dative > Dative of Agency)	agentive dative; dative of agent	type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs73	Dative of Measure/Degree of Difference (Dative > Dative of Measure/Degree of Difference)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs74	Dative of Cause (Dative > Dative of Cause)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs75	Cognate Dative (Dative > Cognate Dative)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs76	Dative of Material (Dative > Dative of Material)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs77	Dative of Content (Dative > Dative of Content)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs78	Dative Direct Object (Dative > Dative Direct Object)		type=node; parent: Dative; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs79	Dative After Certain Nouns (Dative > Dative After Certain Nouns)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs8	Nominative for Vocative (Nominative > Nominative for Vocative)		type=node; parent: Nominative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs80	Dative After Certain Adjectives (Dative > Dative After Certain Adjectives)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs81	Dative After Certain Prepositions (Dative > Dative After Certain Prepositions)		type=node; parent: Dative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs83	Accusative Direct Object (Accusative > Accusative Direct Object)		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs84	Double Accusative (Accusative > Double Accusative)		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs85	Person-Thing (Accusative > Double Accusative > Person-Thing)		type=node; parent: Double Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs86	Object-Complement (Accusative > Double Accusative > Object-Complement)		type=node; parent: Double Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs87	Cognate Accusative (Accusative > Cognate Accusative)		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs88	Predicate Accusative (Accusative > Predicate Accusative)		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs89	Accusative Subject of Infinitive (Accusative > Accusative Subject of Infinitive)		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs9	Nominative of Exclamation (Nominative > Nominative of Exclamation)		type=node; parent: Nominative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs90	Accusative of Retained Object (Accusative > Accusative of Retained Object)		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs91	Pendent Accusative (Accusativum Pendens) (Accusative > Pendent Accusative (Accusativum Pendens))		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs92	Accusative in Simple Apposition (Accusative > Accusative in Simple Apposition)		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs93	Adverbial Accusative (Manner) (Accusative > Adverbial Accusative (Manner))		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs94	Accusative of Measure (Space, Time) (Accusative > Accusative of Measure (Space, Time))		type=node; parent: Accusative; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs95	Accusative of Respect or (General) Reference (Accusative > Accusative of Respect or (General) Reference)		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs96	Accusative in Oaths (Accusative > Accusative in Oaths)		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs97	Accusative After Certain Prepositions (Accusative > Accusative After Certain Prepositions)		type=node; parent: Accusative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs99	As a Pronoun (Article > As a Pronoun)		type=node; parent: Article; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
si10	par excellence (Accusative > par excellence)		type=node; parent: Accusative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si100	indirect (Volitional Clauses (Commands and Prohibitions) > indirect)		type=node; parent: Volitional Clauses (Commands and Prohibitions); source=subject_index; axis weights: clause:1.00, syntax:0.80
si101	perfect (Volitional Clauses (Commands and Prohibitions) > perfect)		type=node; parent: Volitional Clauses (Commands and Prohibitions); source=subject_index; axis weights: clause:1.00, syntax:0.80
si102	traditional view (Volitional Clauses (Commands and Prohibitions) > traditional view)		type=node; parent: Volitional Clauses (Commands and Prohibitions); source=subject_index; axis weights: clause:1.00, syntax:0.80
si104	apodosis (Conditional Sentences > apodosis)		type=node; parent: Conditional Sentences; source=subject_index; axis weights: clause:1.00
si105	first class (Conditional Sentences > first class)		type=node; parent: Conditional Sentences; source=subject_index; axis weights: clause:1.00
si106	fifth class (Conditional Sentences > fifth class)		type=node; parent: Conditional Sentences; source=subject_index; axis weights: clause:1.00
si107	implicit (Conditional Sentences > implicit)		type=node; parent: Conditional Sentences; source=subject_index; axis weights: clause:1.00
si108	protasis (Conditional Sentences > protasis)		type=node; parent: Conditional Sentences; source=subject_index; axis weights: clause:1.00
si109	questions (Conditional Sentences > questions)	interrogatives; question types	type=node; parent: Conditional Sentences; source=subject_index; axis weights: clause:1.00
si11	participle (Accusative > participle)		type=node; parent: Accusative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si110	simple (Conditional Sentences > simple)		type=node; parent: Conditional Sentences; source=subject_index; axis weights: clause:1.00
si111	structural categories (Conditional Sentences > structural categories)		type=node; parent: Conditional Sentences; source=subject_index; axis weights: clause:1.00
si112	systems of classification (Conditional Sentences > systems of classification)		type=node; parent: Conditional Sentences; source=subject_index; axis weights: clause:1.00, morphology:0.60
si113	third class (Conditional Sentences > third class)		type=node; parent: Conditional Sentences; source=subject_index; axis weights: clause:1.00
si114	unreal see conditions: second class (Conditional Sentences > unreal see conditions: second class)		type=node; parent: Conditional Sentences; source=subject_index; axis weights: clause:1.00
si116	adjunctive (Conjunctions > adjunctive)		type=node; parent: Conjunctions; source=subject_index; axis weights: clause:1.00, discourse:0.80
si117	hypotactic (Conjunctions > hypotactic)		type=node; parent: Conjunctions; source=subject_index; axis weights: clause:1.00, discourse:0.80
si118	paratactic (Conjunctions > paratactic)		type=node; parent: Conjunctions; source=subject_index; axis weights: clause:1.00, discourse:0.80
si12	(passim) reference see accusative case: respect (Accusative > (passim) reference see accusative case: respect)		type=node; parent: Accusative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si120	abstract (Dative > abstract)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si121	adverbial (Dative > adverbial)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si122	comitative (Dative > comitative)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si123	contextualizing (Dative > contextualizing)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si124	existential (Dative > existential)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si125	impersonal (Dative > impersonal)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si126	indirect object (Dative > indirect object)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si127	infinitive (articular) (Dative > infinitive (articular))		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si128	instrumental (Dative > instrumental)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si129	limiting (Dative > limiting)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si13	result (Accusative > result)		type=node; parent: Accusative; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.70
si130	local (Dative > local)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si131	nonassociative (Dative > nonassociative)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si132	opinion (Dative > opinion)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si133	personal (Dative > personal)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si134	(with) pronouns (Dative > (with) pronouns)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si135	pure (Dative > pure)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si136	qualifying (Dative > qualifying)		type=node; parent: Dative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si138	aspect (Future Tense > aspect)	verbal aspect; aktionsart (related)	type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si139	(in) commands (Future Tense > (in) commands)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si14	space (Accusative > space)		type=node; parent: Accusative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si140	(in) conditions (Future Tense > (in) conditions)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si141	emphatic negation (Future Tense > emphatic negation)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si142	(after) ἵνα (Future Tense > (after) ἵνα)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00, clause:0.70
si143	indefinite relative clause (Future Tense > indefinite relative clause)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00, clause:0.70
si144	indicative (Future Tense > indicative)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si145	infinitive (Future Tense > infinitive)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si146	middle (Future Tense > middle)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si147	participle (Future Tense > participle)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si148	passive (Future Tense > passive)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si149	periphrastic (Future Tense > periphrastic)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si15	time (Accusative > time)		type=node; parent: Accusative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si150	(in) questions (Future Tense > (in) questions)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si151	subjunctive equivalents (Future Tense > subjunctive equivalents)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si152	time (Future Tense > time)		type=node; parent: Future Tense; source=subject_index; axis weights: morphology:1.00
si154	ablatival (Genitive > ablatival)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si155	adjectival (Genitive > adjectival)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si156	adverbial (Genitive > adverbial)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si157	(after) adverbs (Genitive > (after) adverbs)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si158	anarthrous (Genitive > anarthrous)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si159	apposition, gen. of (Genitive > apposition, gen. of)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si16	unaffected (Accusative > unaffected)		type=node; parent: Accusative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si160	apposition, simple (Genitive > apposition, simple)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si161	appositional (Genitive > appositional)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si162	chains see genitive case: concatenative (Genitive > chains see genitive case: concatenative)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si163	cognate (Genitive > cognate)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si164	concatenative (Genitive > concatenative)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si165	definition (Genitive > definition)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si166	direct object (Genitive > direct object)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si167	direction see genitive case: destination (Genitive > direction see genitive case: destination)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si168	domicile (Genitive > domicile)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si169	epexegetical see genitive case: apposition Hebrew see genitive case: attributive infinitive (articular) (Genitive > epexegetical see genitive case: apposition Hebrew see genitive case: attributive infinitive (articular))		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si17	unmarked (Accusative > unmarked)		type=node; parent: Accusative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si170	nominal (Genitive > nominal)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si171	possession (Genitive > possession)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si172	pregnant (Genitive > pregnant)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si173	production/producer (Genitive > production/producer)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si174	restriction (Genitive > restriction)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si175	reverse (Genitive > reverse)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si176	space (Genitive > space)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si177	unaffected (Genitive > unaffected)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si178	value see genitive case: price verbal (Genitive > value see genitive case: price verbal)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si179	VS. accusative (Genitive > VS. accusative)		type=node; parent: Genitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si181	aorist (Imperative Mood > aorist)		type=node; parent: Imperative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si182	passive (Imperative Mood > passive)		type=node; parent: Imperative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si183	perfect (Imperative Mood > perfect)		type=node; parent: Imperative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si184	performative see imperative mood: pronouncement permissive (Imperative Mood > performative see imperative mood: pronouncement permissive)		type=node; parent: Imperative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si185	prohibitive (Imperative Mood > prohibitive)		type=node; parent: Imperative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si186	present (Imperative Mood > present)		type=node; parent: Imperative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si187	request (Imperative Mood > request)		type=node; parent: Imperative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si188	second person (Imperative Mood > second person)		type=node; parent: Imperative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si189	time element (Imperative Mood > time element)		type=node; parent: Imperative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si19	(with) agent (Active Voice > (with) agent)		type=node; parent: Active Voice; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si190	unaffected (Imperative Mood > unaffected)		type=node; parent: Imperative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si192	broad-band (Imperfect Tense > broad-band)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si193	aspect (Imperfect Tense > aspect)	verbal aspect; aktionsart (related)	type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si194	(in) conditions (Imperfect Tense > (in) conditions)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si195	desiderative (Imperfect Tense > desiderative)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si196	distributive (Imperfect Tense > distributive)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si197	general see imperfect tense: customary gnomic (Imperfect Tense > general see imperfect tense: customary gnomic)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si198	inceptive see imperfect tense: ingressive inchoative see imperfect tense: ingressive indicative (Imperfect Tense > inceptive see imperfect tense: ingressive inchoative see imperfect tense: ingressive indicative)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si199	habitual see imperfect tense: customary middle (Imperfect Tense > habitual see imperfect tense: customary middle)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si2	absolute (Accusative > absolute)		type=node; parent: Accusative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si200	narrow-band (Imperfect Tense > narrow-band)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si201	passive (Imperfect Tense > passive)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si202	periphrastic (Imperfect Tense > periphrastic)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si203	special uses (Imperfect Tense > special uses)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si204	tendential (Imperfect Tense > tendential)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si205	time (Imperfect Tense > time)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si206	unaffected (Imperfect Tense > unaffected)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si207	voluntative (Imperfect Tense > voluntative)		type=node; parent: Imperfect Tense; source=subject_index; axis weights: morphology:1.00
si209	aorist (Indicative Mood > aorist)		type=node; parent: Indicative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si21	active (Adjectives > active)		type=node; parent: Adjectives; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si210	future (Indicative Mood > future)		type=node; parent: Indicative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si211	imperfect (Indicative Mood > imperfect)		type=node; parent: Indicative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si212	(after) ὅτι (Indicative Mood > (after) ὅτι)		type=node; parent: Indicative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.70
si213	participle for (Indicative Mood > participle for)		type=node; parent: Indicative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si214	perfect (Indicative Mood > perfect)		type=node; parent: Indicative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si215	pluperfect (Indicative Mood > pluperfect)		type=node; parent: Indicative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si216	present (Indicative Mood > present)		type=node; parent: Indicative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si217	(in) relative clauses (Indicative Mood > (in) relative clauses)		type=node; parent: Indicative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.70
si218	(after) ὥστε (Indicative Mood > (after) ὥστε)		type=node; parent: Indicative Mood; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si22	identifying (Adjectives > identifying)		type=node; parent: Adjectives; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si220	adjectival (Infinitive > adjectival)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si221	anarthrous (Infinitive > anarthrous)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si222	aorist (Infinitive > aorist)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si223	articular (Infinitive > articular)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si224	dative articular (Infinitive > dative articular)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si225	future (Infinitive > future)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si226	genitive articular (Infinitive > genitive articular)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si227	independent (Infinitive > independent)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si228	nominal (Infinitive > nominal)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si229	present (Infinitive > present)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si23	independent (Adjectives > independent)		type=node; parent: Adjectives; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si230	(after) prepositions (Infinitive > (after) prepositions)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si231	simple (Infinitive > simple)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si232	subject (Infinitive > subject)	grammatical subject (general)	type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si233	supplementary see infinitive: complementary (Infinitive > supplementary see infinitive: complementary)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si234	time (Infinitive > time)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si235	time element (Infinitive > time element)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si236	(with) two accusatives (Infinitive > (with) two accusatives)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si237	verbal (Infinitive > verbal)		type=node; parent: Infinitive; source=subject_index; axis weights: morphology:1.00, syntax:0.80, clause:0.60
si239	(with) agent (Middle Voice > (with) agent)		type=node; parent: Middle Voice; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si24	(with) nouns (Adjectives > (with) nouns)		type=node; parent: Adjectives; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si240	aorist (Middle Voice > aorist)		type=node; parent: Middle Voice; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si241	future (Middle Voice > future)		type=node; parent: Middle Voice; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si242	imperfect (Middle Voice > imperfect)		type=node; parent: Middle Voice; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si243	indirect redundant (Middle Voice > indirect redundant)		type=node; parent: Middle Voice; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.70
si244	perfect (Middle Voice > perfect)		type=node; parent: Middle Voice; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si245	pluperfect (Middle Voice > pluperfect)		type=node; parent: Middle Voice; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si246	present (Middle Voice > present)		type=node; parent: Middle Voice; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si247	redundant reciprocal (Middle Voice > redundant reciprocal)		type=node; parent: Middle Voice; source=subject_index; axis weights: morphology:1.00, syntax:0.80, discourse:0.70
si249	address see nominative: (for) vocative appellation (Nominative > address see nominative: (for) vocative appellation)		type=node; parent: Nominative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si25	passive (Adjectives > passive)		type=node; parent: Adjectives; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si250	(with) article (Nominative > (with) article)		type=node; parent: Nominative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si251	cognate (Nominative > cognate)		type=node; parent: Nominative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si252	independent (Nominative > independent)		type=node; parent: Nominative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si253	interjectional (Nominative > interjectional)		type=node; parent: Nominative; source=subject_index; axis weights: morphology:1.00, syntax:0.80
